ID,Key,Value
SYS_Fag_00432,internettviktighet,
SYS_Fag_00330,internettviktighet,Helt nødvendig
SYS_Fag_00346,internettviktighet,
SYS_Fag_00112,internettviktighet,
SYS_Fag_00113,internettviktighet,
SYS_Fag_00114,internettviktighet,
SYS_Fag_00163,internettviktighet,
SYS_Fag_00287,internettviktighet,
SYS_Inf_00001,internettviktighet,
SYS_Inf_00128,internettviktighet,Fungerer uten
SYS_Inf_00082,internettviktighet,
SYS_Inf_00132,internettviktighet,
SYS_Inf_00090,internettviktighet,
SYS_Inf_00120,internettviktighet,
SYS_Inf_00089,internettviktighet,Fungerer uten
SYS_Inf_00027,internettviktighet,
SYS_Inf_00119,internettviktighet,
SYS_Inf_00131,internettviktighet,Helt nødvendig
SYS_Inf_00072,internettviktighet,
SYS_Inf_00039,internettviktighet,
SYS_Inf_00064,internettviktighet,
SYS_Inf_00065,internettviktighet,
SYS_Inf_00078,internettviktighet,Delvis nødvendig
SYS_Inf_00049,internettviktighet,Delvis nødvendig
SYS_Inf_00006,internettviktighet,Delvis nødvendig
SYS_Inf_00020,internettviktighet,
SYS_Inf_00031,internettviktighet,
SYS_Inf_00009,internettviktighet,
SYS_Inf_00062,internettviktighet,
SYS_Inf_00084,internettviktighet,
SYS_Inf_00010,internettviktighet,Fungerer uten
SYS_Inf_00041,internettviktighet,
SYS_Inf_00011,internettviktighet,Delvis nødvendig
SYS_Inf_00091,internettviktighet,
SYS_Inf_00012,internettviktighet,
SYS_Inf_00013,internettviktighet,
SYS_Inf_00103,internettviktighet,
SYS_Inf_00080,internettviktighet,
SYS_Inf_00075,internettviktighet,
SYS_Inf_00014,internettviktighet,
SYS_Inf_00016,internettviktighet,
SYS_Inf_00038,internettviktighet,
SYS_Inf_00117,internettviktighet,
SYS_Inf_00071,internettviktighet,Fungerer uten
SYS_Inf_00125,internettviktighet,
SYS_Inf_00095,internettviktighet,
SYS_Inf_00127,internettviktighet,Fungerer uten
SYS_Inf_00083,internettviktighet,Fungerer uten
SYS_Inf_00081,internettviktighet,Delvis nødvendig
SYS_Inf_00061,internettviktighet,
SYS_Inf_00105,internettviktighet,
SYS_Inf_00106,internettviktighet,
SYS_Inf_00074,internettviktighet,
SYS_Inf_00068,internettviktighet,
SYS_Inf_00112,internettviktighet,
SYS_Inf_00018,internettviktighet,Fungerer uten
SYS_Inf_00019,internettviktighet,
SYS_Inf_00063,internettviktighet,
SYS_Inf_00110,internettviktighet,
SYS_Inf_00085,internettviktighet,Fungerer uten
SYS_Inf_00116,internettviktighet,
SYS_Inf_00007,internettviktighet,
SYS_Inf_00088,internettviktighet,Fungerer uten
SYS_Inf_00096,internettviktighet,
SYS_Inf_00069,internettviktighet,
SYS_Inf_00048,internettviktighet,
SYS_Inf_00108,internettviktighet,
SYS_Inf_00043,internettviktighet,
SYS_Inf_00015,internettviktighet,
SYS_Inf_00002,internettviktighet,
SYS_Inf_00123,internettviktighet,
SYS_Inf_00111,internettviktighet,Helt nødvendig
SYS_Inf_00097,internettviktighet,
SYS_Inf_00008,internettviktighet,
SYS_Inf_00021,internettviktighet,Delvis nødvendig
SYS_Inf_00022,internettviktighet,
SYS_Inf_00094,internettviktighet,Fungerer uten
SYS_Inf_00023,internettviktighet,
SYS_Inf_00040,internettviktighet,
SYS_Inf_00024,internettviktighet,
SYS_Inf_00073,internettviktighet,
SYS_Inf_00107,internettviktighet,
SYS_Inf_00005,internettviktighet,Helt nødvendig
SYS_Inf_00029,internettviktighet,Delvis nødvendig
SYS_Inf_00135,internettviktighet,
SYS_Inf_00087,internettviktighet,Fungerer uten
SYS_Inf_00102,internettviktighet,
SYS_Inf_00129,internettviktighet,Helt nødvendig
SYS_Inf_00070,internettviktighet,
SYS_Inf_00028,internettviktighet,
SYS_Inf_00118,internettviktighet,
SYS_Inf_00045,internettviktighet,
SYS_Inf_00046,internettviktighet,
SYS_Inf_00079,internettviktighet,
SYS_Inf_00099,internettviktighet,
SYS_Inf_00113,internettviktighet,
SYS_Inf_00003,internettviktighet,
SYS_Inf_00044,internettviktighet,
SYS_Inf_00124,internettviktighet,
SYS_Inf_00122,internettviktighet,
SYS_Inf_00032,internettviktighet,
SYS_Inf_00037,internettviktighet,Fungerer uten
SYS_Inf_00126,internettviktighet,Fungerer uten
SYS_Inf_00115,internettviktighet,Fungerer uten
SYS_Inf_00114,internettviktighet,
SYS_Inf_00093,internettviktighet,
SYS_Inf_00066,internettviktighet,
SYS_Inf_00067,internettviktighet,
SYS_Inf_00036,internettviktighet,
SYS_Inf_00033,internettviktighet,
SYS_Inf_00109,internettviktighet,
SYS_Inf_00034,internettviktighet,
SYS_Pro_00204,internettviktighet,
SYS_Pro_00205,internettviktighet,
SYS_Pro_00649,internettviktighet,
SYS_Pro_00657,internettviktighet,
SYS_Pro_00206,internettviktighet,
SYS_Pro_00738,internettviktighet,
SYS_Pro_00771,internettviktighet,
SYS_Pro_00207,internettviktighet,
SYS_Pro_00208,internettviktighet,
SYS_Pro_00209,internettviktighet,
SYS_Pro_00557,internettviktighet,
SYS_Pro_00210,internettviktighet,
SYS_Pro_00211,internettviktighet,
SYS_Pro_00718,internettviktighet,
SYS_Pro_00788,internettviktighet,
SYS_Pro_00695,internettviktighet,
SYS_Pro_00212,internettviktighet,
SYS_Pro_00213,internettviktighet,
SYS_Pro_00169,internettviktighet,
SYS_Pro_00533,internettviktighet,
SYS_Pro_00641,internettviktighet,
SYS_Pro_00643,internettviktighet,
SYS_Pro_00527,internettviktighet,
SYS_Pro_00610,internettviktighet,
SYS_Pro_00170,internettviktighet,
SYS_Pro_00723,internettviktighet,
SYS_Pro_00777,internettviktighet,
SYS_Pro_00172,internettviktighet,
SYS_Pro_00558,internettviktighet,
SYS_Pro_00560,internettviktighet,
SYS_Pro_00683,internettviktighet,
SYS_Pro_00579,internettviktighet,
SYS_Pro_00559,internettviktighet,
SYS_Pro_00719,internettviktighet,
SYS_Pro_00174,internettviktighet,
SYS_Pro_00175,internettviktighet,
SYS_Pro_00176,internettviktighet,
SYS_Pro_00216,internettviktighet,
SYS_Pro_00588,internettviktighet,
SYS_Pro_00727,internettviktighet,
SYS_Pro_00759,internettviktighet,
SYS_Pro_00218,internettviktighet,
SYS_Pro_00219,internettviktighet,
SYS_Pro_00739,internettviktighet,
SYS_Pro_00807,internettviktighet,
SYS_Pro_00840,internettviktighet,
SYS_Pro_00828,internettviktighet,
SYS_Pro_00658,internettviktighet,
SYS_Pro_00221,internettviktighet,
SYS_Pro_00222,internettviktighet,
SYS_Pro_00786,internettviktighet,
SYS_Pro_00223,internettviktighet,
SYS_Pro_00225,internettviktighet,
SYS_Pro_00830,internettviktighet,
SYS_Pro_00230,internettviktighet,
SYS_Pro_00846,internettviktighet,
SYS_Pro_00231,internettviktighet,
SYS_Pro_00234,internettviktighet,
SYS_Pro_00236,internettviktighet,
SYS_Pro_00235,internettviktighet,
SYS_Pro_00601,internettviktighet,
SYS_Pro_00689,internettviktighet,
SYS_Pro_00741,internettviktighet,
SYS_Pro_00802,internettviktighet,
SYS_Pro_00651,internettviktighet,
SYS_Pro_00652,internettviktighet,
SYS_Pro_00582,internettviktighet,
SYS_Pro_00602,internettviktighet,
SYS_Pro_00534,internettviktighet,
SYS_Pro_00628,internettviktighet,
SYS_Pro_00754,internettviktighet,
SYS_Pro_00122,internettviktighet,
SYS_Pro_00123,internettviktighet,
SYS_Pro_00124,internettviktighet,
SYS_Pro_00639,internettviktighet,
SYS_Pro_00126,internettviktighet,
SYS_Pro_00127,internettviktighet,
SYS_Pro_00128,internettviktighet,
SYS_Pro_00131,internettviktighet,
SYS_Pro_00132,internettviktighet,
SYS_Pro_00133,internettviktighet,
SYS_Pro_00134,internettviktighet,
SYS_Pro_00135,internettviktighet,
SYS_Pro_00136,internettviktighet,
SYS_Pro_00137,internettviktighet,
SYS_Pro_00138,internettviktighet,
SYS_Pro_00139,internettviktighet,
SYS_Pro_00140,internettviktighet,
SYS_Pro_00141,internettviktighet,
SYS_Pro_00142,internettviktighet,
SYS_Pro_00143,internettviktighet,
SYS_Pro_00144,internettviktighet,
SYS_Pro_00049,internettviktighet,
SYS_Pro_00050,internettviktighet,
SYS_Pro_00051,internettviktighet,
SYS_Pro_00052,internettviktighet,
SYS_Pro_00053,internettviktighet,
SYS_Pro_00054,internettviktighet,
SYS_Pro_00055,internettviktighet,
SYS_Pro_00056,internettviktighet,
